web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1708114563-31","https://www.expat-dakar.com/appartements-meubles?page=48","Superbe appartement meublé à Sacre coeur II
1 chambre80 m²
Sacré-cœur,
Dakar

15. janv., 08:13

30 000 F Cfa

773146213","https://www.expat-dakar.com/annonce/superbe-appartement-meuble-a-sacre-coeur-ii-5957677","Superbe appartement meublé à Sacre coeur II","1","2","80 m²","Sacré-cœur","Dakar","30 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c26d166f3eff6f9289cdc1a62464dea/-/horizon-files-prod/ed/picture/qxj2qz8z/5acb9d864e5c942a3f3478f1280a747673817f28.jpg"
"1708114565-32","https://www.expat-dakar.com/appartements-meubles?page=48","Duplexe avec 4chambres salon Meublé à Ngor
4 chambre90 m²
Ngor,
Dakar

29. nov. '23, 09:20

40 000 F Cfa

775635799","https://www.expat-dakar.com/annonce/duplexe-avec-4chambres-salon-meuble-a-ngor-5945219","Duplexe avec 4chambres salon Meublé à Ngor","4","","90 m²","Ngor","Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6e8038f432bdf84ec979c04415fec82d/-/horizon-files-prod/ed/picture/q56xzr5p/54335dd51e0373c948c3296a00861664d729e7c0.jpg"
"1708114568-33","https://www.expat-dakar.com/appartements-meubles?page=48","VIP

Appartements meublés aux Almadies 2
2 chambre
Almadies 2,
Dakar

26. janv., 20:46

Vendeur vérifié

45 000 F Cfa

775352925

773572681

779421740","https://www.expat-dakar.com/annonce/appartements-meubles-aux-almadies-2-5977836","Appartements meublés aux Almadies 2","2","2","","Almadies 2","Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a6eb80740a0b7cef028021067d8cc181/-/horizon-files-prod/ed/picture/qkrgqx4j/758ec6c503a649b58a366fb4661615ce4803a806.jpg"
"1708114570-34","https://www.expat-dakar.com/appartements-meubles?page=48","A La Une

Jolie villa meublée à louer à ngor virage
4 chambre
Virage,
Dakar

18. janv., 13:15

Vendeur vérifié

150 000 F Cfa

778057481

708832038","https://www.expat-dakar.com/annonce/jolie-villa-meublee-a-louer-a-ngor-virage-5984029","Jolie villa meublée à louer à ngor virage","4","","","Virage","Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/85229d5a57e9471ef598fd0add70f53a/-/horizon-files-prod/ed/picture/qq47vpnw/69fde8e8d3c10f65137eb46a1cc3126ea7ef2b7f.jpg"
"1708114575-35","https://www.expat-dakar.com/appartements-meubles?page=47","Chambre meublée kaolack
15 chambre600 m²
Kaolack,
Kaolack

15. déc. '23, 08:24

15 000 F Cfa

762260424","https://www.expat-dakar.com/annonce/chambre-meublee-kaolack-5960597","Chambre meublée kaolack","15","14","600 m²","Kaolack","Kaolack","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aeb2eb439e8d09ad399735515921c6ee/-/horizon-files-prod/ed/picture/q448pv05/3750e0df1733001b630d414a7baab4a30efc6eba.jpg"
"1708114578-36","https://www.expat-dakar.com/appartements-meubles?page=47","Appartement luxueux à louer aux almadies
3 chambre190 m²
Almadies,
Dakar

lundi, 15:23

774999195

778764749

786895117","https://www.expat-dakar.com/annonce/appartement-luxueux-a-louer-aux-almadies-5853358","Appartement luxueux à louer aux almadies","3","3","190 m²","Almadies","Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e88c8f756baa3f48e1199e91bc379bda/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qkr59kkz/f27adabb1466423e1a66c0ff82a4c89ad32b2120.jpg"
"1708114580-37","https://www.expat-dakar.com/appartements-meubles?page=47","Studio meublé à louer à ouakam
1 chambre1 m²
Ouakam,
Dakar

15. déc. '23, 16:39

25 000 F Cfa

777289003","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-a-ouakam-5413183","Studio meublé à louer à ouakam","1","1","1 m²","Ouakam","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/529f5a666f03fdb4753aca8e019dfbfc/-/horizon-files-prod/ed/picture/q2jjrwk6/b8741ce9d93b634e7f535c81474d097b3d6a4b0e.jpg"
"1708114583-38","https://www.expat-dakar.com/appartements-meubles?page=47","Studio meublé à la cité damel

Cité Damel,
Dakar

15. déc. '23, 16:50

25 000 F Cfa

781672243","https://www.expat-dakar.com/annonce/studio-meuble-a-la-cite-damel-5824717","Studio meublé à la cité damel","","2","","Cité Damel","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bdae31390d561f768fea44415a0f4c43/-/horizon-files-prod/ed/picture/q2jrezde/ac3dbd7f924b934503007a65ff31b74920b1a1bd.jpg"
"1708114585-39","https://www.expat-dakar.com/appartements-meubles?page=47","chambre salon meublé
1 chambre80 m²
Mermoz,
Dakar

15. déc. '23, 09:20

25 000 F Cfa

773265716","https://www.expat-dakar.com/annonce/chambre-salon-meuble-5960793","chambre salon meublé","1","2","80 m²","Mermoz","Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fde4cb69e13418293f48dd48a80fc8eb/-/horizon-files-prod/ed/picture/qngxwevx/3b13c50c5c8de96418732529d8abf1391c2e5182.jpg"
"1708114588-40","https://www.expat-dakar.com/appartements-meubles?page=47","Appartement F4 meublé à louer au virage
4 chambre
Virage,
Dakar

15. déc. '23, 17:29

3 000 000 F Cfa

776454715

776454715

778145360","https://www.expat-dakar.com/annonce/appartement-f4-meuble-a-louer-au-virage-5945585","Appartement F4 meublé à louer au virage","4","3","","Virage","Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/16938f3120915eea1f77cd62b5178c6e/-/horizon-files-prod/ed/picture/q56xzzpe/04defa7095633fa7d1b8adc364a383c704532e60.jpg"
